architecture,bin,mean_confidence,empirical_accuracy,count
Monolithic,4,0.4759632279220901,0.7476038338658147,313
Monolithic,5,0.5533034647206395,0.6146515783204288,1679
Monolithic,6,0.6469985035178244,0.8057775046097111,1627
Monolithic,7,0.7460009554195697,0.9901697944593387,1119
Monolithic,8,0.823588298507634,1.0,262
Sequential,4,0.48099997165792024,0.6889763779527559,254
Sequential,5,0.5541380764237012,0.6511350059737157,1674
Sequential,6,0.6486478095466528,0.813325674899483,1741
Sequential,7,0.7426221438736799,0.9782608695652174,1104
Sequential,8,0.8205180033413217,1.0,227
RAG-Monolithic,4,0.4818024927508582,0.6101694915254238,177
RAG-Monolithic,5,0.5549166996549878,0.5891181988742964,1599
RAG-Monolithic,6,0.6485135663477706,0.7497243660418964,1814
RAG-Monolithic,7,0.7429079230005127,0.9648972602739726,1168
RAG-Monolithic,8,0.8237142724531237,0.9958677685950413,242
Reflexion,4,0.48354382008196056,0.65,180
Reflexion,5,0.553286334131716,0.6082474226804123,1746
Reflexion,6,0.6481213503348314,0.7936231884057972,1725
Reflexion,7,0.7436087671934052,0.9723214285714286,1120
Reflexion,8,0.8223363245090607,1.0,229
Debate,4,0.48726563036348286,0.5675675675675675,185
Debate,5,0.554416749604536,0.5710928319623971,1702
Debate,6,0.6489656252452172,0.7482598607888631,1724
Debate,7,0.7422759157882974,0.9614373356704645,1141
Debate,8,0.8228563845545352,1.0,248
Multi-Agent (A0 full),4,0.48787096455070905,0.4105263157894737,95
Multi-Agent (A0 full),5,0.5551580869034456,0.5024660912453761,1622
Multi-Agent (A0 full),6,0.6480703314934041,0.6417171161254815,1817
Multi-Agent (A0 full),7,0.7431487716224753,0.9187339606501284,1169
Multi-Agent (A0 full),8,0.8230132653304754,0.9966329966329966,297
